@relation small-slice-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute X numeric
@attribute Y numeric
@attribute CLASS {0,1}

@data
0.34,0.53,1
0.468,0.662,1
0.375,0.41,1
0.614,0.632,1
0.339,0.488,1
0.4,0.381,1
0.661,0.543,1
0.517,0.671,1
0.42,0.367,1
0.354,0.566,1
0.345,0.505,1
0.347,0.465,1
0.34,0.473,1
0.661,0.56,1
0.607,0.63,1
0.663,0.547,1
0.343,0.475,1
0.477,0.664,1
0.589,0.363,1
0.668,0.489,1
0.523,0.668,1
0.647,0.596,1
0.431,0.355,1
0.635,0.615,1
0.661,0.562,1
0.354,0.449,1
0.602,0.631,1
0.408,0.368,1
0.555,0.662,1
0.665,0.532,1
0.59,0.647,1
0.544,0.663,1
0.35,0.558,1
0.461,0.343,1
0.438,0.362,1
0.361,0.432,1
0.346,0.46,1
0.602,0.646,1
0.541,0.668,1
0.579,0.655,1
0.562,0.665,1
0.516,0.343,1
0.346,0.475,1
0.338,0.478,1
0.425,0.363,1
0.346,0.543,1
0.53,0.663,1
0.381,0.406,1
0.45,0.662,1
0.644,0.587,1
0.35,0.565,1
0.342,0.508,1
0.42,0.36,1
0.496,0.666,1
0.443,0.348,1
0.554,0.347,1
0.662,0.571,1
0.662,0.563,1
0.347,0.455,1
0.352,0.564,1
0.623,0.629,1
0.627,0.605,1
0.481,0.337,1
0.343,0.459,1
0.67,0.535,1
0.665,0.547,1
0.652,0.565,1
0.659,0.441,1
0.606,0.628,1
0.529,0.673,1
0.639,0.61,1
0.603,0.631,1
0.404,0.368,1
0.555,0.348,1
0.66,0.57,1
0.559,0.661,1
0.655,0.578,1
0.55,0.661,1
0.398,0.387,1
0.348,0.463,1
0.344,0.548,1
0.561,0.654,1
0.44,0.657,1
0.666,0.541,1
0.535,0.342,1
0.435,0.359,1
0.488,0.664,1
0.562,0.664,1
0.436,0.356,1
0.42,0.357,1
0.512,0.345,1
0.502,0.345,1
0.674,0.519,1
0.642,0.416,1
0.406,0.374,1
0.489,0.668,1
0.638,0.591,1
0.5,0.343,1
0.609,0.628,1
0.673,0.506,1
0.665,0.517,1
0.527,0.668,1
0.408,0.37,1
0.34,0.516,1
0.444,0.346,1
0.562,0.653,1
0.364,0.586,1
0.495,0.67,1
0.615,0.383,1
0.593,0.649,1
0.527,0.345,1
0.623,0.62,1
0.595,0.65,1
0.469,0.339,1
0.473,0.668,1
0.352,0.57,1
0.674,0.504,1
0.671,0.506,1
0.566,0.351,1
0.549,0.658,1
0.481,0.341,1
0.34,0.474,1
0.556,0.352,1
0.391,0.385,1
0.41,0.369,1
0.664,0.562,1
0.592,0.365,1
0.627,0.609,1
0.344,0.51,1
0.511,0.344,1
0.506,0.666,1
0.455,0.352,1
0.398,0.376,1
0.668,0.546,1
0.654,0.572,1
0.604,0.633,1
0.357,0.437,1
0.437,0.354,1
0.412,0.378,1
0.455,0.35,1
0.585,0.647,1
0.524,0.345,1
0.348,0.55,1
0.346,0.48,1
0.655,0.445,1
0.658,0.445,1
0.53,0.662,1
0.432,0.653,1
0.393,0.393,1
0.541,0.662,1
0.579,0.653,1
0.657,0.557,1
0.542,0.344,1
0.339,0.526,1
0.345,0.554,1
0.376,0.406,1
0.341,0.529,1
0.653,0.573,1
0.523,0.664,1
0.358,0.442,1
0.425,0.369,1
0.517,0.674,1
0.658,0.573,1
0.337,0.502,1
0.468,0.347,1
0.42,0.647,1
0.656,0.583,1
0.672,0.491,1
0.529,0.34,1
0.587,0.649,1
0.646,0.6,1
0.626,0.608,1
0.431,0.354,1
0.365,0.423,1
0.515,0.341,1
0.637,0.406,1
0.37,0.598,1
0.595,0.645,1
0.66,0.455,1
0.337,0.508,1
0.351,0.433,1
0.672,0.49,1
0.347,0.474,1
0.648,0.578,1
0.354,0.441,1
0.654,0.437,1
0.583,0.36,1
0.656,0.442,1
0.343,0.501,1
0.367,0.594,1
0.355,0.452,1
0.353,0.459,1
0.666,0.471,1
0.337,0.517,1
0.418,0.644,1
0.457,0.662,1
0.467,0.344,1
0.662,0.453,1
0.465,0.663,1
0.566,0.653,1
0.657,0.55,1
0.555,0.347,1
0.452,0.661,1
0.641,0.587,1
0.341,0.521,1
0.666,0.553,1
0.58,0.647,1
0.631,0.616,1
0.399,0.386,1
0.498,0.671,1
0.365,0.409,1
0.341,0.503,1
0.503,0.344,1
0.516,0.673,1
0.66,0.556,1
0.644,0.585,1
0.637,0.61,1
0.354,0.445,1
0.669,0.503,1
0.448,0.66,1
0.559,0.657,1
0.58,0.654,1
0.666,0.525,1
0.346,0.494,1
0.609,0.634,1
0.631,0.611,1
0.339,0.498,1
0.449,0.661,1
0.625,0.621,1
0.383,0.398,1
0.564,0.657,1
0.651,0.427,1
0.625,0.614,1
0.347,0.483,1
0.5,0.667,1
0.394,0.378,1
0.376,0.411,1
0.531,0.342,1
0.51,0.668,1
0.384,0.402,1
0.666,0.491,1
0.438,0.351,1
0.336,0.51,1
0.34,0.468,1
0.367,0.428,1
0.353,0.428,1
0.622,0.614,1
0.565,0.651,1
0.393,0.625,1
0.463,0.344,1
0.443,0.349,1
0.37,0.41,1
0.514,0.337,1
0.587,0.642,1
0.453,0.663,1
0.336,0.491,1
0.357,0.572,1
0.521,0.673,1
0.341,0.464,1
0.653,0.59,1
0.57,0.355,1
0.63,0.613,1
0.651,0.433,1
0.558,0.666,1
0.364,0.434,1
0.555,0.668,1
0.35,0.435,1
0.584,0.654,1
0.338,0.49,1
0.353,0.438,1
0.63,0.622,1
0.654,0.436,1
0.622,0.62,1
0.636,0.598,1
0.659,0.569,1
0.622,0.622,1
0.425,0.647,1
0.593,0.641,1
0.422,0.356,1
0.443,0.657,1
0.612,0.63,1
0.446,0.354,1
0.413,0.371,1
0.601,0.636,1
0.35,0.46,1
0.41,0.368,1
0.427,0.65,1
0.556,0.351,1
0.41,0.365,1
0.556,0.35,1
0.662,0.541,1
0.473,0.344,1
0.397,0.378,1
0.665,0.494,1
0.588,0.642,1
0.618,0.631,1
0.672,0.506,1
0.516,0.341,1
0.44,0.35,1
0.635,0.616,1
0.671,0.505,1
0.579,0.356,1
0.609,0.639,1
0.45,0.357,1
0.346,0.446,1
0.543,0.668,1
0.558,0.659,1
0.664,0.529,1
0.356,0.432,1
0.339,0.512,1
0.662,0.465,1
0.348,0.545,1
0.57,0.661,1
0.604,0.63,1
0.592,0.367,1
0.36,0.426,1
0.607,0.627,1
0.588,0.653,1
0.66,0.554,1
0.644,0.586,1
0.67,0.487,1
0.57,0.656,1
0.622,0.611,1
0.489,0.344,1
0.524,0.672,1
0.651,0.57,1
0.615,0.625,1
0.661,0.557,1
0.585,0.361,1
0.343,0.453,1
0.668,0.539,1
0.367,0.418,1
0.654,0.561,1
0.459,0.66,1
0.665,0.515,1
0.367,0.422,1
0.439,0.36,1
0.405,0.38,1
0.671,0.485,1
0.477,0.341,1
0.476,0.348,1
0.645,0.599,1
0.574,0.657,1
0.616,0.619,1
0.669,0.537,1
0.364,0.43,1
0.613,0.625,1
0.665,0.535,1
0.671,0.483,1
0.636,0.603,1
0.672,0.514,1
0.666,0.468,1
0.351,0.556,1
0.616,0.628,1
0.351,0.456,1
0.349,0.457,1
0.578,0.647,1
0.389,0.396,1
0.363,0.42,1
0.348,0.538,1
0.448,0.346,1
0.476,0.338,1
0.456,0.35,1
0.532,0.34,1
0.467,0.665,1
0.352,0.439,1
0.447,0.659,1
0.475,0.668,1
0.547,0.659,1
0.349,0.564,1
0.493,0.669,1
0.371,0.418,1
0.603,0.644,1
0.345,0.479,1
0.492,0.336,1
0.472,0.346,1
0.341,0.531,1
0.625,0.626,1
0.349,0.464,1
0.649,0.592,1
0.656,0.446,1
0.396,0.385,1
0.486,0.343,1
0.57,0.658,1
0.45,0.661,1
0.377,0.411,1
0.633,0.598,1
0.586,0.65,1
0.648,0.596,1
0.416,0.368,1
0.658,0.574,1
0.524,0.339,1
0.67,0.486,1
0.351,0.565,1
0.546,0.662,1
0.405,0.369,1
0.639,0.589,1
0.638,0.407,1
0.643,0.588,1
0.62,0.63,1
0.553,0.345,1
0.399,0.385,1
0.403,0.382,1
0.604,0.64,1
0.341,0.473,1
0.546,0.66,1
0.63,0.605,1
0.367,0.424,1
0.356,0.571,1
0.554,0.664,1
0.498,0.665,1
0.347,0.541,1
0.548,0.667,1
0.392,0.385,1
0.536,0.343,1
0.634,0.599,1
0.585,0.65,1
0.641,0.594,1
0.435,0.352,1
0.341,0.467,1
0.579,0.358,1
0.631,0.605,1
0.563,0.353,1
0.507,0.665,1
0.338,0.512,1
0.469,0.346,1
0.525,0.343,1
0.347,0.489,1
0.584,0.653,1
0.465,0.351,1
0.659,0.454,1
0.344,0.463,1
0.384,0.384,1
0.67,0.479,1
0.386,0.385,1
0.519,0.343,1
0.449,0.352,1
0.527,0.673,1
0.38,0.405,1
0.606,0.632,1
0.423,0.363,1
0.657,0.555,1
0.667,0.479,1
0.633,0.618,1
0.512,0.341,1
0.479,0.341,1
0.347,0.533,1
0.538,0.662,1
0.426,0.651,1
0.665,0.518,1
0.442,0.351,1
0.361,0.437,1
0.352,0.463,1
0.499,0.669,1
0.358,0.42,1
0.381,0.407,1
0.463,0.34,1
0.635,0.406,1
0.371,0.409,1
0.354,0.574,1
0.492,0.667,1
0.593,0.642,1
0.515,0.674,1
0.346,0.453,1
0.46,0.345,1
0.429,0.356,1
0.542,0.671,1
0.361,0.421,1
0.467,0.664,1
0.473,0.348,1
0.567,0.663,1
0.527,0.672,1
0.542,0.669,1
0.634,0.607,1
0.557,0.665,1
0.388,0.392,1
0.456,0.664,1
0.475,0.342,1
0.564,0.662,1
0.578,0.645,1
0.369,0.411,1
0.516,0.665,1
0.614,0.622,1
0.344,0.48,1
0.567,0.66,1
0.378,0.41,1
0.657,0.447,1
0.42,0.645,1
0.439,0.354,1
0.526,0.344,1
0.622,0.629,1
0.455,0.342,1
0.666,0.508,1
0.451,0.347,1
0.338,0.527,1
0.412,0.371,1
0.518,0.341,1
0.349,0.453,1
0.564,0.661,1
0.404,0.371,1
0.339,0.514,1
0.485,0.67,1
0.433,0.353,1
0.429,0.652,1
0.582,0.653,1
0.556,0.659,1
0.339,0.49,1
0.434,0.362,1
0.337,0.498,1
0.373,0.409,1
0.652,0.57,1
0.455,0.348,1
0.449,0.348,1
0.667,0.486,1
0.363,0.433,1
0.511,0.339,1
0.369,0.414,1
0.627,0.624,1
0.367,0.415,1
0.357,0.575,1
0.34,0.518,1
0.439,0.361,1
0.64,0.587,1
0.343,0.512,1
0.363,0.41,1
0.668,0.545,1
0.565,0.657,1
0.467,0.34,1
0.549,0.662,1
0.34,0.483,1
0.658,0.578,1
0.469,0.348,1
0.649,0.579,1
0.44,0.352,1
0.492,0.338,1
0.654,0.558,1
0.342,0.528,1
0.669,0.523,1
0.599,0.37,1
0.422,0.362,1
0.659,0.579,1
0.387,0.396,1
0.598,0.637,1
0.514,0.345,1
0.443,0.66,1
0.597,0.636,1
0.441,0.349,1
0.661,0.534,1
0.666,0.539,1
0.67,0.524,1
0.466,0.665,1
0.647,0.589,1
0.655,0.585,1
0.666,0.461,1
0.397,0.38,1
0.419,0.359,1
0.479,0.665,1
0.609,0.624,1
0.672,0.534,1
0.372,0.401,1
0.663,0.459,1
0.524,0.671,1
0.46,0.347,1
0.369,0.413,1
0.353,0.461,1
0.342,0.482,1
0.668,0.469,1
0.633,0.606,1
0.661,0.544,1
0.345,0.462,1
0.498,0.338,1
0.664,0.512,1
0.37,0.6,1
0.357,0.445,1
0.495,0.34,1
0.366,0.594,1
0.339,0.492,1
0.471,0.663,1
0.524,0.666,1
0.474,0.346,1
0.429,0.362,1
0.349,0.455,1
0.479,0.346,1
0.523,0.669,1
0.357,0.432,1
0.639,0.606,1
0.348,0.555,1
0.475,0.349,1
0.432,0.352,1
0.498,0.673,1
0.347,0.557,1
0.489,0.671,1
0.355,0.427,1
0.342,0.517,1
0.628,0.612,1
0.648,0.421,1
0.381,0.408,1
0.563,0.654,1
0.416,0.363,1
0.556,0.667,1
0.611,0.624,1
0.366,0.419,1
0.62,0.623,1
0.35,0.462,1
0.623,0.614,1
0.42,0.362,1
0.415,0.641,1
0.459,0.342,1
0.592,0.366,1
0.371,0.406,1
0.638,0.597,1
0.639,0.595,1
0.343,0.493,1
0.576,0.359,1
0.386,0.388,1
0.525,0.672,1
0.583,0.642,1
0.671,0.522,1
0.665,0.498,1
0.345,0.544,1
0.654,0.438,1
0.602,0.632,1
0.511,0.34,1
0.672,0.484,1
0.447,0.357,1
0.61,0.378,1
0.585,0.645,1
0.639,0.41,1
0.544,0.348,1
0.422,0.365,1
0.575,0.651,1
0.588,0.364,1
0.35,0.459,1
0.642,0.594,1
0.572,0.652,1
0.643,0.581,1
0.374,0.604,1
0.576,0.66,1
0.464,0.349,1
0.355,0.566,1
0.648,0.592,1
0.658,0.554,1
0.453,0.354,1
0.6,0.638,1
0.454,0.35,1
0.436,0.653,1
0.65,0.594,1
0.353,0.43,1
0.584,0.65,1
0.405,0.377,1
0.666,0.488,1
0.489,0.664,1
0.352,0.453,1
0.454,0.347,1
0.375,0.405,1
0.498,0.346,1
0.44,0.359,1
0.665,0.537,1
0.413,0.368,1
0.569,0.354,1
0.667,0.555,1
0.669,0.497,1
0.672,0.529,1
0.566,0.654,1
0.48,0.339,1
0.424,0.65,1
0.607,0.635,1
0.575,0.649,1
0.348,0.468,1
0.449,0.353,1
0.346,0.443,1
0.339,0.507,1
0.433,0.352,1
0.662,0.463,1
0.437,0.657,1
0.439,0.353,1
0.628,0.621,1
0.571,0.354,1
0.391,0.393,1
0.503,0.674,1
0.567,0.661,1
0.345,0.459,1
0.666,0.487,1
0.351,0.431,1
0.377,0.404,1
0.4,0.372,1
0.347,0.486,1
0.464,0.667,1
0.466,0.662,1
0.63,0.611,1
0.508,0.344,1
0.667,0.558,1
0.664,0.557,1
0.374,0.412,1
0.366,0.423,1
0.408,0.377,1
0.473,0.34,1
0.594,0.636,1
0.61,0.629,1
0.426,0.361,1
0.665,0.506,1
0.623,0.616,1
0.52,0.341,1
0.672,0.5,1
0.496,0.67,1
0.468,0.664,1
0.346,0.545,1
0.657,0.581,1
0.441,0.657,1
0.655,0.562,1
0.568,0.663,1
0.539,0.347,1
0.573,0.659,1
0.476,0.344,1
0.655,0.573,1
0.577,0.656,1
0.442,0.347,1
0.618,0.617,1
0.649,0.573,1
0.665,0.485,1
0.64,0.594,1
0.357,0.45,1
0.43,0.649,1
0.528,0.671,1
0.661,0.572,1
0.5,0.665,1
0.34,0.475,1
0.346,0.497,1
0.661,0.545,1
0.596,0.649,1
0.349,0.557,1
0.603,0.372,1
0.536,0.662,1
0.651,0.584,1
0.419,0.368,1
0.538,0.341,1
0.66,0.566,1
0.439,0.35,1
0.67,0.483,1
0.608,0.641,1
0.51,0.34,1
0.423,0.361,1
0.535,0.341,1
0.345,0.541,1
0.613,0.62,1
0.393,0.38,1
0.574,0.659,1
0.44,0.358,1
0.629,0.612,1
0.427,0.368,1
0.47,0.343,1
0.438,0.36,1
0.553,0.665,1
0.543,0.664,1
0.428,0.367,1
0.632,0.616,1
0.57,0.649,1
0.656,0.561,1
0.355,0.441,1
0.351,0.569,1
0.67,0.538,1
0.649,0.571,1
0.347,0.475,1
0.642,0.588,1
0.529,0.343,1
0.657,0.45,1
0.385,0.398,1
0.565,0.664,1
0.499,0.666,1
0.666,0.466,1
0.616,0.618,1
0.35,0.457,1
0.668,0.528,1
0.538,0.343,1
0.355,0.433,1
0.345,0.464,1
0.611,0.632,1
0.591,0.364,1
0.496,0.338,1
0.342,0.47,1
0.418,0.37,1
0.34,0.491,1
0.346,0.478,1
0.585,0.654,1
0.355,0.448,1
0.391,0.623,1
0.497,0.665,1
0.663,0.457,1
0.341,0.472,1
0.672,0.502,1
0.408,0.369,1
0.479,0.663,1
0.667,0.487,1
0.343,0.474,1
0.629,0.617,1
0.341,0.465,1
0.499,0.673,1
0.353,0.56,1
0.467,0.663,1
0.663,0.55,1
0.668,0.478,1
0.63,0.399,1
0.389,0.391,1
0.511,0.667,1
0.511,0.668,1
0.409,0.376,1
0.468,0.663,1
0.664,0.555,1
0.579,0.652,1
0.457,0.663,1
0.647,0.574,1
0.583,0.362,1
0.419,0.358,1
0.653,0.436,1
0.433,0.358,1
0.42,0.644,1
0.597,0.369,1
0.431,0.651,1
0.366,0.426,1
0.64,0.596,1
0.494,0.668,1
0.625,0.616,1
0.624,0.614,1
0.6,0.645,1
0.58,0.36,1
0.345,0.514,1
0.356,0.451,1
0.341,0.541,1
0.389,0.385,1
0.438,0.349,1
0.347,0.472,1
0.343,0.517,1
0.544,0.694,0
0.788,0.758,0
0.972,0.132,0
0.425,0.871,0
0.467,0.806,0
0.193,0.05,0
0.448,0.57,0
0.575,0.997,0
0.335,0.869,0
0.645,0.803,0
0.776,0.494,0
0.518,0.603,0
0.394,0.251,0
0.317,0.333,0
0.22,0.916,0
0.274,0.976,0
0.369,0.762,0
0.077,0.603,0
0.165,0.384,0
0.169,0.022,0
0.809,0.825,0
0.132,0.447,0
0.276,0.861,0
0.434,0.78,0
0.859,0.93,0
0.516,0.898,0
0.733,0.266,0
0.213,0.481,0
0.377,0.944,0
0.442,0.68,0
0.405,0.788,0
0.119,0.719,0
0.884,0.219,0
0.089,0.214,0
0.302,0.49,0
0.65,0.953,0
0.615,0.13,0
0.952,0.251,0
0.19,0.585,0
0.574,0.74,0
0.449,0.379,0
0.696,0.749,0
0.057,0.142,0
0.024,0.831,0
0.099,0.931,0
0.822,0.793,0
0.786,0.2,0
0.963,0.005,0
0.362,0.14,0
0.421,0.296,0
0.631,0.93,0
0.754,0.246,0
0.206,0.878,0
0.568,0.697,0
0.597,0.96,0
0.756,0.494,0
0.311,0.821,0
0.679,0.676,0
0.452,0.13,0
0.716,0.286,0
0.983,0.521,0
0.689,0.345,0
0.649,0.828,0
0.963,0.574,0
0.725,0.111,0
0.741,0.47,0
0.844,0.85,0
0.836,0.542,0
0.776,0.218,0
0.596,0.919,0
0.988,0.393,0
0.385,0.502,0
0.296,0.006,0
0.331,0.751,0
0.211,0.023,0
0.553,0.498,0
0.102,0.72,0
0.545,0.781,0
0.776,0.237,0
0.068,0.102,0
0.632,0.141,0
0.941,0.837,0
0.294,0.436,0
0.865,0.592,0
0.028,0.34,0
0.237,0.831,0
0.508,0.999,0
0.253,0.079,0
0.794,0.562,0
0.663,0.243,0
0.88,0.982,0
0.846,0.532,0
0.442,0.065,0
0.382,0.472,0
0.056,0.609,0
0.998,0.556,0
0.96,0.073,0
0.144,0.086,0
0.808,0.968,0
0.465,0.723,0
0.502,0.985,0
0.967,0.102,0
0.778,0.929,0
0.98,0.961,0
0.528,0.268,0
0.832,0.01,0
0.58,0.219,0
0.421,0.702,0
0.316,0.78,0
0.673,0.834,0
0.102,0.583,0
0.768,0.596,0
0.069,0.868,0
0.494,0.679,0
0.77,0.984,0
0.083,0.955,0
0.158,0.435,0
0.27,0.691,0
0.094,0.468,0
0.643,0.516,0
0.726,0.184,0
0.743,0.723,0
0.194,0.088,0
0.712,0.452,0
0.755,0.994,0
0.797,0.853,0
0.274,0.52,0
0.682,0.13,0
0.86,0.334,0
0.543,0.55,0
0.677,0.043,0
0.287,0.411,0
0.038,0.932,0
0.755,0.973,0
0.3,0.554,0
0.476,0.645,0
0.613,0.148,0
0.746,0.129,0
0.776,0.844,0
0.153,0.8,0
0.488,0.449,0
0.273,0.936,0
0.724,0.286,0
0.638,0.215,0
0.219,0.62,0
0.007,0.705,0
0.349,0.821,0
0.566,0.555,0
0.123,0.266,0
0.788,0.213,0
0.774,0.51,0
0.372,0.426,0
0.379,0.299,0
0.585,0.368,0
0.174,0.448,0
0.783,0.266,0
0.801,0.773,0
0.468,0.765,0
0.703,0.823,0
0.965,0.793,0
0.114,0.241,0
0.639,0.821,0
0.724,0.551,0
0.128,0.047,0
0.822,0.34,0
0.089,0.943,0
0.269,0.115,0
0.481,0.375,0
0.37,0.659,0
0.03,0.127,0
0.366,0.864,0
0.12,0.371,0
0.84,0.65,0
0.41,0.909,0
0.153,0.752,0
0.876,0.265,0
0.827,0.9,0
0.849,0.13,0
0.44,0.99,0
0.676,0.774,0
0.227,0.441,0
0.233,0.247,0
0.454,0.667,0
0.775,0.752,0
0.893,0.737,0
0.353,0.913,0
0.889,0.016,0
0.043,0.46,0
0.081,0.309,0
0.889,0.934,0
0.428,0.498,0
0.767,0.259,0
0.561,0.693,0
0.712,0.795,0
0.768,0.124,0
0.224,0.57,0
0.482,0.95,0
0.021,0.325,0
0.792,0.901,0
0.911,0.738,0
0.129,0.171,0
0.734,0.329,0
0.3,0.493,0
0.477,0.106,0
0.935,0.221,0
0.872,0.192,0
0.889,0.737,0
0.554,0.318,0
0.648,0.618,0
0.509,0.073,0
0.662,0.899,0
0.723,0.86,0
0.514,0.593,0
0.246,0.587,0
0.652,0.853,0
0.198,0.813,0
0.724,0.052,0
0.95,0.834,0
0.791,0.025,0
0.457,0.654,0
0.615,0.194,0
0.579,0.215,0
0.515,0.949,0
0.492,0.71,0
0.904,0.146,0
0.744,0.302,0
0.392,0.727,0
0.26,0.492,0
0.107,0.015,0
0.538,0.927,0
0.966,0.31,0
0.021,0.108,0
0.356,0.153,0
0.1,0.549,0
0.933,0.073,0
0.392,0.255,0
0.619,0.867,0
0.626,0.067,0
0.015,0.273,0
0.738,0.129,0
0.132,0.542,0
0.56,0.689,0
0.405,0.841,0
0.128,0.727,0
0.503,0.745,0
0.835,0.084,0
0.356,0.227,0
0.371,0.093,0
0.616,0.087,0
0.74,0.625,0
0.801,0.783,0
0.962,0.893,0
0.066,0.371,0
0.427,0.446,0
0.428,0.759,0
0.211,0.582,0
0.602,0.479,0
0.78,0.723,0
0.259,0.093,0
0.959,0.329,0
0.597,0.134,0
0.594,0.599,0
0.24,0.017,0
0.218,0.784,0
0.172,0.83,0
0.625,0.308,0
0.809,0.24,0
0.527,0.187,0
0.206,0.056,0
0.549,0.826,0
0.362,0.847,0
0.169,0.99,0
0.409,0.844,0
0.917,0.796,0
0.218,0.667,0
0.063,0.481,0
0.526,0.609,0
0.322,0.88,0
0.411,0.917,0
0.116,0.288,0
0.402,0.128,0
0.318,0.538,0
0.884,0.946,0
0.106,0.891,0
0.785,0.229,0
0.73,0.664,0
0.728,0.584,0
0.6,0.813,0
0.093,0.586,0
0.482,0.12,0
0.364,0.896,0
0.451,0.728,0
0.631,0.876,0
0.206,0.573,0
0.3,0.499,0
0.077,0.133,0
0.854,0.709,0
0.545,0.55,0
0.511,0.975,0
0.979,0.832,0
0.959,0.292,0
0.039,0.018,0
0.798,0.518,0
0.249,0.533,0
0.503,0.642,0
0.498,0.815,0
0.795,0.138,0
0.709,0.866,0
0.205,0.973,0
0.674,0.435,0
0.137,0.726,0
0.477,0.288,0
0.726,0.023,0
0.007,0.955,0
0.616,0.759,0
0.223,0.566,0
0.484,0.064,0
0.801,0.305,0
0.56,0.082,0
0.25,0.781,0
0.151,0.44,0
0.181,0.082,0
0.108,0.472,0
0.633,0.872,0
0.045,0.68,0
0.31,0.082,0
0.184,0.353,0
0.415,0.6,0
0.438,0.88,0
0.7,0.138,0
0.741,0.284,0
0.895,0.084,0
0.442,0.491,0
0.219,0.369,0
0.708,0.099,0
0.535,0.449,0
0.686,0.769,0
0.426,0.006,0
0.294,0.651,0
0.732,0.366,0
0.806,0.063,0
0.294,0.91,0
0.095,0.084,0
0.187,0.972,0
0.982,0.387,0
0.082,0.215,0
0.975,0.197,0
0.38,0.232,0
0.458,0.202,0
0.012,0.116,0
0.632,0.043,0
0.526,0.883,0
0.468,0.434,0
0.28,0.176,0
0.882,0.445,0
0.54,0.088,0
0.754,0.661,0
0.642,0.496,0
0.586,0.773,0
0.293,0.881,0
0.164,0.54,0
0.385,0.067,0
0.94,0.873,0
0.815,0.528,0
0.288,0.163,0
0.561,0.165,0
0.595,0.895,0
0.199,0.954,0
0.907,0.034,0
0.325,0.234,0
0.571,0.682,0
0.383,0.534,0
0.641,0.38,0
0.858,0.214,0
0.139,0.963,0
0.813,0.498,0
0.243,0.129,0
0.248,0.751,0
0.011,0.69,0
0.573,0.359,0
0.982,0.262,0
0.325,0.841,0
0.87,0.164,0
0.913,0.337,0
0.536,0.113,0
0.702,0.829,0
